1  | Футбол
2  | Баскетбол
3  | Волейбол (в том числе пляжный волейбол)
4  | Теннис
"5  | Бег, марафоны"
6  | Плавание
7  | Велоспорт
8  | Лыжные виды спорта
9  | Скейтбординг
10 | Альпинизм
11 | Пляжный волейбол
12 | Пляжный футбол
13 | Пляжный теннис
14 | Пляжный бадминтон
15 | Пляжный фрисби
16 | Пляжный регби
17 | Пляжный бокс (с использованием мягких перчаток)
18 | Серфинг
19 | Виндсерфинг
20 | Кайтсерфинг
21 | Вейкбординг
""
22 | Рисование
23 | Живопись
24 | Вязание
25 | Шитьё
26 | Фотография
27 | Скульптура
""
28 | Игра на гитаре
29 | Игра на пианино
30 | Прослушивание музыки
31 | Создание музыки
""
32 | Художественная литература
33 | Научная литература
34 | Биографии
""
35 | Посещение новых стран
36 | Экскурсии и туры
""
37 | Изучение иностранных языков
38 | Онлайн-курсы
39 | Посещение мастер-классов
""
40 | Программирование
41 | Робототехника
42 | 3D-моделирование
""
43 | Готовка новых блюд
44 | Выпечка
45 | Декорирование тортов
""
46 | Монеты
47 | Марки 
"48 | Фигурки, статуэтки"
""
49 | Волонтёрство 
50 | Участие в благотворительных акциях
""
51 | Вышивание 
52 | Создание украшений 
